sentence,labels
"Şirin, sözlər eşitdim.",ad nn un
"O, ağıllı, insanlardan öyrəndim.",un ad nn un
"Bu, soyuq, havada üşüdüm.",un ad un un
"Geniş, mənzərəni heyranlıqla izlədim.",ad nn un un
"Bu, kiçik, otaqda dincəldim.",un ad un un
"O, sakit, səssizcə dinləyirdi.",un ad un un
"Bu, qəribə, filmə baxmaq istəmirəm.",un ad nn un un
"Yeni, imkanlar gözləyir.",ad nn un
"Gözəl, şəhəri gəzdim.",ad nn un
"Uzaq, səyahəti planlaşdırıram.",ad nn un
"Bu, isti, havada dondurma yedim.",un ad un nn un
"Köhnə, dostlarla zəngləşdim.",ad nn un
"O, ağıllı, insanlardan öyrənmək istəyirəm.",un ad nn un un
"Bu, soyuq, havada qalmağı sevmirəm.",un ad un un un
"Geniş, sahədə oturdum.",ad nn un
"Bu, kiçik, dünyamızdır.",un ad nn
"Dəyərli, vaxtımızı itirməyək.",ad nn un
"O, sakit, sakitcə oxuyurdu.",un ad un un
"Bu, qəribə, yuxunu gördüm.",un ad nn un
"Gözəl, çiçəklər açdı.",ad nn un
"Uzaq, ölkəyə səfər etməyi planlaşdırıram.",ad nn un un un
"Bu, isti, evdə dincəlmək xoşdur.",un ad un un un
"Dərin, duyğular var.",ad nn un
"Köhnə, əşyaları satdım.",ad nn un
"Şirin, sözləri eşitdim.",ad nn un
"Geniş, sahədə oynadım.",ad nn un
"O, sakit, səssizcə izləyirdi.",un ad un un
"Gözəl, şəhərdə gəzdim.",ad un un
"Uzaq, səyahətə getmək istəyirəm.",ad un un un
Qırmızı maşın sürətlə küçədən keçdi.,ad nn un un un
"O, maraqlı bir hekayə danışdı.",un ad un nn un
"Bu, yeni bir evdir.",un ad un nn
Böyük şəhər həmişə səs-küylüdür.,ad nn un un
"O, ağıllı bir şagirddir.",un ad un nn
"Bu, qədim bir şəhərdir.",un ad un nn
Təmiz su içmək lazımdır.,ad nn un un
Böyük bir ev almaq istəyirəm.,ad un nn un un
"O, maraqlı bir kitab oxuyur.",un ad un nn un
Gözəl bir gün keçirdik.,ad un nn un
Qırmızı bir maşın gördüm.,ad un nn un
"O, ağıllı bir uşaqdır.",un ad un nn
Mənim sevimli kitabım itdi.,un ad nn un
"O, maraqlı hekayələr danışır.",un ad nn un
"Bu, yeni bir avtomobildir.",un ad un nn
Yüksək dağ mənzərəsi gözəldir.,ad nn nn ad
"Bu, qədim bir abidədir.",un ad un nn
Böyük bir ev tikmək istəyirəm.,ad un nn un un
"O, maraqlı bir film izləyir.",un ad un nn un
Gözəl bir xatirədir.,ad un nn
Qırmızı bir qələm tapdım.,ad un nn un
"O, ağıllı bir tələbədir.",un ad un nn
Mənim sevimli musiqim səslənir.,un ad nn un
Qırmızı maşın yolda dayanmışdı.,ad nn un un
"O, maraqlı bir sual verdi.",un ad un nn un
"Bu, yeni bir kompüterdir.",un ad un nn
"Bu, qədim bir əlyazmadır.",un ad un nn
"O, uzun bir söhbət etdi.",un ad un nn un
Böyük bir ev almaq mənim arzumdur.,ad un nn un un nn
"O, maraqlı bir hekayə oxudu.",un ad un nn un
Gözəl bir gün idi.,ad un nn un
Qırmızı bir rəngdir.,ad un nn
"O, ağıllı bir insandır.",un ad un nn
Mənim sevimli yeməyim pizzadır.,un ad nn nn
Qırmızı maşın sürətlə gəlirdi.,ad nn un un
"O, maraqlı bir fakt söylədi.",un ad un nn un
"Bu, yeni bir modeldir.",un ad un nn
"O, ağıllı bir oğlandır.",un ad un nn
Yüksək dağ mənzərəsi möhtəşəmdir.,ad nn nn ad
"Bu, qədim bir sənətdir.",un ad un nn
"O, uzun bir yuxu gördü.",un ad un nn un
Böyük bir bina tikildi.,ad un nn un
"O, maraqlı bir film izlədi.",un ad un nn un
Gözəl bir mənzərə gördüm.,ad un nn un
Qırmızı bir alma yedim.,ad un nn un
"O, ağıllı bir təklif verdi.",un ad un nn un
Mənim sevimli filmim budur.,un ad nn un
Gözəl hava bizi təəccübləndirdi.,ad nn un un
"O, maraqlı bir həyat yaşayır.",un ad un nn un
"Bu, yeni bir imkandır.",un ad un nn
Yüksək dağ zirvəsi gözəldir.,ad nn nn ad
"Bu, qədim bir tapıntıdır.",un ad un nn
"O, uzun bir səs eşitdi.",un ad un nn un
Böyük bir ev istəyirəm.,ad un nn un
"O, maraqlı bir hekayət söylədi.",un ad un nn un
Gözəl bir mahnı oxudu.,ad un nn un
Qırmızı bir kitab oxudum.,ad un nn un
"O, ağıllı bir oyun oynadı.",un ad un nn un
Mənim sevimli heyvanım itdir.,un ad nn nn
Gözəl hava bizi ruhlandırdı.,ad nn un un
Qırmızı maşın zədələnmişdi.,ad nn un
"O, maraqlı bir şəxsiyyətdir.",un ad un nn
"Bu, yeni bir üsuldur.",un ad un nn
Yüksək dağ mənzərəsi gözəl idi.,ad nn nn ad un
"Bu, qədim bir hekayədir.",un ad un nn
Böyük bir ev almaq mənim xəyalımdır.,ad un nn un un nn
Mənim sevimli kitabım buradadır.,un ad nn un
Qırmızı maşın yolda dayandı.,ad nn un un
Mənim sevimli kitabım budur.,un ad nn un
"Bu, yeni bir avtomobil deyil, köhnə bir avtobusdur.",un ad un nn un ad un nn
"Bu, maraqlı bir kitabdır.",un ad un nn
"Bu, kiçik bir bağçadır.",un ad un nn
"Bu, qəribə bir hadisədir.",un ad un nn
"Bu, yaxşı bir təklifdir.",un ad un nn
"Bu, çətin bir sualdır.",un ad un nn
"Bu, məşhur bir restorandır.",un ad un nn
"Bu, gözəl bir rəsmdir.",un ad un nn
"Bu, böyük bir uğurdur.",un ad un nn
"Bu, yüksək bir dağdır.",un ad un nn
"Bu, dərin bir quyudur.",un ad un nn
"Bu, ucuz bir qiymətdir.",un ad un nn
"Bu, gözəl bir rəngdir.",un ad un nn
"Bu, böyük bir fürsətdir.",un ad un nn
"Bu, yüksək bir temperaturdur.",un ad un nn
"Bu, yeni bir texnologiyadır.",un ad un nn
"Bu, ucuz bir maldır.",un ad un nn
"Bu, gözəl bir görünüşdür.",un ad un nn
"Bu, böyük bir nailiyyətdir.",un ad un nn
"Bu, yüksək bir səsdir.",un ad un nn
"Bu, yeni bir yanaşmadır.",un ad un nn
"Bu, ucuz bir seçimdir.",un ad un nn
"Bu, gözəl bir mənzərədir.",un ad un nn
"Bu, böyük bir layihədir.",un ad un nn
"Bu, yüksək bir qiymətdir.",un ad un nn
"Bu, yeni bir tendensiyadır.",un ad un nn
"Bu, ucuz bir alternativdir.",un ad un nn
"Bu, böyük bir təcrübədir.",un ad un nn
"Bu, yüksək bir dərəcədir.",un ad un nn
"Bu, ucuz bir variantdır.",un ad un nn
"Bu, böyük bir şansdır.",un ad un nn
"Bu, yüksək bir zirvədir.",un ad un nn
"Bu, ucuz bir vasitədir.",un ad un nn
"Bu, gözəl bir əsərdir.",un ad un nn
"Bu, böyük bir sərvətdir.",un ad un nn
"Bu, yüksək bir səviyyədədir.",un ad un un
"Bu, yeni bir dövrdür.",un ad un nn
"Bu, ucuz bir əşyadır.",un ad un nn
"O, qədim kitabxanada maraqlı bir hekayə tapdı.",un ad nn un ad un nn
"Hava soyuq və küləklidir, amma günəş parlaqdır.",nn ad un ad un nn ad
"Mən böyük, qırmızı bir alma yedim.",un ad ad un nn un
Gözəl musiqi ürəyimi isitdi.,ad nn nn un
"O, yeni bir ev almaq istəyir.",un ad un nn un un
"Bu, maraqlı bir film idi.",un ad un nn un
Qoca ağac bağda sakitcə dayanırdı.,ad nn nn un un
Uşaqlar rəngli oyuncaqlarla oynayırdılar.,nn ad nn un
Səhər tezdən sakit bir göldə qayıqla üzmək gözəldir.,nn un ad un nn un un ad
Payızda yarpaqlar qırmızı və sarı olur.,nn nn ad un ad un
"Bu, bahalı bir maşındır.",un ad un nn
Mən yeni bir işə başladım.,un ad un nn un
"O, maraqlı bir kitab yazdı.",un ad un nn un
"Bu, böyük bir problemdir.",un ad un nn
"O, gözəl bir mahnı oxudu.",un ad un nn un
"Bu, bahalı bir hədiyyədir.",un ad un nn
Mən yeni bir ev aldım.,un ad un nn un
"O, gözəl bir rəsm çəkdi.",un ad un nn un
"Bu, bahalı bir saatdır.",un ad un nn
Mən yeni bir dost qazandım.,un ad un nn un
"Bu, böyük bir səhvdir.",un ad un nn
"O, gözəl bir musiqi dinlədi.",un ad un nn un
Mən yeni bir dil öyrəndim.,un ad un nn un
"O, maraqlı bir oyun oynadı.",un ad un nn un
"Bu, böyük bir məsuliyyətdir.",un ad un nn
Mən qədim bir tarix öyrəndim.,un ad un nn un
"O, gözəl bir geyim geyindi.",un ad un nn un
"Bu, bahalı bir mebeldir.",un ad un nn
"O, maraqlı bir mövzu araşdırdı.",un ad un nn un
"Bu, böyük bir dəyişiklikdir.",un ad un nn
Mən qədim bir əlyazma oxudum.,un ad un nn un
"O, gözəl bir bağ yaratdı.",un ad un nn un
"Bu, bahalı bir avtomobildir.",un ad un nn
Mən yeni bir kitab yazdım.,un ad un nn un
"O, maraqlı bir təcrübə keçirdi.",un ad un nn un
"Bu, böyük bir addımdır.",un ad un nn
"O, gözəl bir şeir yazdı.",un ad un nn un
"Bu, bahalı bir evdir.",un ad un nn
Mən yeni bir layihəyə başladım.,un ad un nn un
Mən qədim bir xəritə tapdım.,un ad un nn un
"Bu, bahalı bir əşyadır.",un ad un nn
Mən yeni bir yol tapdım.,un ad un nn un
"Bu, böyük bir imtahandır.",un ad un nn
Mən qədim bir alət tapdım.,un ad un nn un
"Bu, bahalı bir restorandır.",un ad un nn
Mən yeni bir üsul öyrəndim.,un ad un nn un
"O, maraqlı bir həyat yaşadı.",un ad un nn un
"Bu, böyük bir məsələdir.",un ad un nn
Mən qədim bir bina gördüm.,un ad un nn un
"Bu, bahalı bir oteldir.",un ad un nn
Mən yeni bir dil öyrənirəm.,un ad un nn un
"O, maraqlı bir musiqi bəstələdi.",un ad un nn un
Mən qədim bir adət öyrəndim.,un ad un nn un
"O, gözəl bir səhnə yaratdı.",un ad un nn un
"Bu, böyük bir dərsdir.",un ad un nn
"O, gözəl bir rəqs etdi.",un ad un nn un
"Bu, bahalı bir ziyafətdir.",un ad un nn
"Bu, böyük bir fəlakətdir.",un ad un nn
"O, gözəl bir kitab oxuyur.",un ad un nn un
"Bu, bahalı bir məkandır.",un ad un nn
Mən yeni bir iş tapdım.,un ad un nn un
"O, maraqlı bir mövzuya toxundu.",un ad un nn un
"Bu, böyük bir qərardır.",un ad un nn
Mən qədim bir şəhərdə yaşadım.,un ad un un un
"O, gözəl bir gün keçirdi.",un ad un nn un
"Bu, bahalı bir həyatdır.",un ad un nn
"Bu, böyük bir təklifdir.",un ad un nn
Mən qədim bir məbədə getdim.,un ad un nn un
Mən yeni bir səhifə açdım.,un ad un nn un
"Bu, böyük bir sınaqdır.",un ad un nn
"O, gözəl bir qadın gördü.",un ad un nn un
"O, gözəl bir mənzərəyə baxdı.",un ad un nn un
"Bu, bahalı bir aksesuardır.",un ad un nn
"Bu, böyük bir öhdəlikdir.",un ad un nn
"O, gözəl bir geyim aldı.",un ad un nn un
Mən yeni bir məqsəd qoydum.,un ad un nn un
"Bu, böyük bir riskdir.",un ad un nn
"Bu, böyük bir uğursuzluqdur.",un ad un nn
Mən qədim bir mədəniyyəti araşdırdım.,un ad un un un
"O, qırmızı alma yedi.",un ad nn un
Böyük evdə yaşadılar.,ad nn un
Gözəl hava ürəyimi açdı.,ad nn nn un
Məktəbə getmək mənim üçün vacibdir.,nn un un un un
Kitab oxumaq çox maraqlıdır.,nn un un ad
Yeni maşın aldıq.,ad nn un
Soyuq su içməyin.,ad nn un
İsti çay xoşdur.,ad nn ad
Sərin külək əsdi.,ad nn un
Yüksək dağlara dırmaşdıq.,ad nn un
Qara pişik yatır.,ad nn un
Ağ buludlar üzür.,ad nn un
Yaşıl ot bitir.,ad nn un
Sarı yarpaqlar düşür.,ad nn un
Göy səma aydın idi.,ad nn ad un
Qısa hekayələr yazdım.,ad nn un
Uzun yollar getdim.,ad nn un
Geniş dənizləri gördüm.,ad nn un
Dar küçələrdə gəzdim.,ad nn un
Onun yeni paltarı gözəldir.,un ad nn ad
"Bu, maraqlı bir filmdir.",un ad un nn
Dünənki görüş çox vacib idi.,un nn un ad un
Sabahkı hava proqnozu qeyri-müəyyəndir.,un nn nn ad
İndi işləmək lazımdır.,un un un
Tez qayıtmağa çalışın.,ad un un
Gec yatmaq zərərlidir.,ad un ad
Səssiz dayanmaq çətindir.,ad un ad
Uşaqlar şən mahnı oxuyurlar.,nn ad nn un
Qızlar gözəl rəqs edirlər.,nn ad un un
Oğlanlar güclü top oynayırlar.,nn ad nn un
Qadınlar zərif gül əkirlər.,nn ad nn un
Kişilər ağıllı fikir söyləyirlər.,nn ad nn un
Günəş parlaq işıq saçır.,nn ad nn un
Ay sakit nur verir.,nn ad nn un
Ulduzlar sönük parıldayırlar.,nn ad un
Şimşək qorxunc səslənir.,nn ad un
Yağış sərin düşür.,nn ad un
Torpaq bərəkətli məhsul verir.,nn ad nn un
Meşə sıx ağaclarla doludur.,nn ad nn un
Çay şəffaf su axıdır.,nn ad nn un
Dəniz duzlu dalğalar yaradır.,nn ad nn un
Şəhər canlı həyatla doludur.,nn ad nn un
Kənd sakit təbiətlə əhatəlidir.,nn ad nn un
Mətbəx dadlı yeməklər hazırlayır.,nn ad nn un
Həyət rəngarəng çiçəklərlə bəzədilib.,nn ad nn un
Qış soyuq qar gətirir.,nn ad nn un
Payız rəngli yarpaqlar səpələyir.,nn ad nn un
Bahar gözəl çiçəklər açır.,nn ad nn un
Yay uzun günlər uzadır.,nn ad nn un
Səhər erkən oyanmaq faydalıdır.,nn ad un ad
Günorta isti yemək yeyirik.,nn ad nn un
Axşam sakit vaxt keçiririk.,nn ad un un
Gecə dərin yuxuya dalırıq.,nn ad nn un
Dostlarım sadiq insanlardır.,nn ad nn
Qonşularım mehriban insanlardır.,nn ad nn
Həmkarlarım çalışqan işçilərdir.,nn ad nn
Müəllimlərim hörmətli şəxslərdir.,nn ad nn
Tələbələrim istedadlı gənclərdir.,nn ad nn
Rəhbərlərim ədalətli liderlərdir.,nn ad nn
İşçilərim məsuliyyətli insanlardır.,nn ad nn
Valideynlərim qayğıkeş böyüklərdir.,nn ad nn
Uşaqlarım sevimli balacalarımdır.,nn ad nn
Nəvələrim şirin körpələrdir.,nn ad nn
Dostlarım əyləncəli yoldaşlardır.,nn ad nn
Qohumlarım yaxın insanlardır.,nn ad nn
Tanışlarım maraqlı şəxslərdir.,nn ad nn
Yoldaşlarım dəyərli sirdaşlarımdır.,nn ad nn
Səyahət yorucu macəra idi.,nn ad nn un
Oyun əyləncəli yarış idi.,nn ad nn un
Konsert möhtəşəm şou idi.,nn ad nn un
Film təsirli sənət əsəri idi.,nn ad nn nn un
Sərgi maraqlı tədbir idi.,nn ad nn un
Konfrans faydalı toplantı idi.,nn ad nn un
Seminar informativ dərs idi.,nn ad nn un
Təqdimat uğurlu çıxış idi.,nn ad nn un
Müsabiqə rəqabətli yarış idi.,nn ad nn un
Layihə vacib iş idi.,nn ad nn un
Tədqiqat dəyərli araşdırma idi.,nn ad nn un
Hesabat ətraflı analiz idi.,nn ad nn un
Plan real strategiya idi.,nn ad nn un
Strategiya effektiv yanaşma idi.,nn ad nn un
Yanaşma müvafiq üsul idi.,nn ad nn un
Üsul doğru yol idi.,nn ad nn un
Yol asan həll idi.,nn ad nn un
Həll sadə cavab idi.,nn ad nn un
Cavab düzgün nəticə idi.,nn ad nn un
Dəyişiklik faydalı təsir idi.,nn ad nn un
Təsir güclü hiss idi.,nn ad nn un
Hiss xoş duyğu idi.,nn ad nn un
Duyğu dərin məna idi.,nn ad nn un
Məna aydın mesaj idi.,nn ad nn un
Mesaj açıq bildiriş idi.,nn ad nn un
Bildiriş rəsmi elan idi.,nn ad nn un
Elan geniş yayım idi.,nn ad nn un
Yayım əhatəli məlumat idi.,nn ad nn un
Məlumat dəqiq xəbər idi.,nn ad nn un
Xəbər yeni məlumat idi.,nn ad nn un
Məlumat əsas bilik idi.,nn ad nn un
Bilik dərin anlayış idi.,nn ad nn un
Anlayış geniş perspektiv idi.,nn ad nn un
Perspektiv uzaq görüş idi.,nn ad nn un
Görüş aydın baxış idi.,nn ad nn un
Baxış doğru fikir idi.,nn ad nn un
Fikir ağıllı düşüncə idi.,nn ad nn un
Düşüncə yaradıcı proses idi.,nn ad nn un
Fəaliyyət aktiv hərəkət idi.,nn ad nn un
Hərəkət sürətli addım idi.,nn ad nn un
İrəliləyiş böyük nailiyyət idi.,nn ad nn un
Nailiyyət böyük uğur idi.,nn ad nn un
Uğur sevincli nəticə idi.,nn ad nn un
Nəticə xoşbəxt son idi.,nn ad nn un
Son yeni başlanğıc idi.,nn ad nn un
Başlanğıc maraqlı fürsət idi.,nn ad nn un
Fürsət dəyərli imkan idi.,nn ad nn un
İmkan uğurlu şans idi.,nn ad nn un
Şans yaxşı təsadüf idi.,nn ad nn un
Təsadüf gözlənilməz hadisə idi.,nn ad nn un
Hadisə əhəmiyyətli məqam idi.,nn ad nn un
Məqam xüsusi an idi.,nn ad nn un
An unudulmaz xatirə idi.,nn ad nn un
Xatirə dəyərli miras idi.,nn ad nn un
Miras qiymətli sərvət idi.,nn ad nn un
Sərvət bol zənginlik idi.,nn ad nn un
Zənginlik xoşbəxt həyat idi.,nn ad nn un
Həyat gözəl səyahət idi.,nn ad nn un
Səyahət maraqlı kəşf idi.,nn ad nn un
Kəşf yeni bilik idi.,nn ad nn un
Bilik əsas anlayış idi.,nn ad nn un
Anlayış dərin fikir idi.,nn ad nn un
Fikir parlaq düşüncə idi.,nn ad nn un
İdeya güclü ilham idi.,nn ad nn un
İlham yeni enerji idi.,nn ad nn un
Enerji aktiv güc idi.,nn ad nn un
Güc əhəmiyyətli təsir idi.,nn ad nn un
Təsir dərin iz idi.,nn ad nn un
İz unudulmaz xatirə idi.,nn ad nn un
Xatirə dəyərli yadigardır.,nn ad nn
Yadigar qiymətli xəzinədir.,nn ad nn
Xəzinə bol sərvətdir.,nn ad nn
Sərvət xoşbəxt həyatdır.,nn ad nn
Həyat gözəl səyahətdir.,nn ad nn
Səyahət maraqlı kəşfdir.,nn ad nn
Kəşf yeni bilikdir.,nn ad nn
Bilik əsas anlayışdır.,nn ad nn
Anlayış dərin fikirdir.,nn ad nn
Fikir parlaq düşüncədir.,nn ad nn
Düşüncə yaradıcı ideyadır.,nn ad nn
İdeya güclü ilhamdır.,nn ad nn
İlham yeni enerjidir.,nn ad nn
Enerji aktiv gücdür.,nn ad nn
Güc əhəmiyyətli təsirdir.,nn ad nn
Təsir dərin izdir.,nn ad nn
Sərin hava dincəlməyə kömək edir.,ad nn un un un
Sakit gecə ulduzlara baxmağa çağırır.,ad nn un un un
Təravətli yağış torpağı canlandırır.,ad nn nn un
Bahar gəlişi təbiəti oyandırır.,nn nn nn un
Payız rəngləri ağacları bəzəyir.,nn nn nn un
Yay istisi dondurma yeməyi sevindirir.,nn nn nn nn un
Gözəl musiqi ruhu dincəldir.,ad nn nn un
Maraqlı kitab dünyanı dəyişdirir.,ad nn nn un
Dəyərli dost həyatı zənginləşdirir.,ad nn nn un
Doğru söz qəlbləri birləşdirir.,ad nn nn un
Güclü iradə çətinlikləri aşır.,ad nn nn un
Ağıllı qərarlar gələcəyi formalaşdırır.,ad nn nn un
Uğurlu layihələr cəmiyyəti inkişaf etdirir.,ad nn nn nn un
